site,date,YYYYMMDD,trans_type,trans_bin,trans_m,pit_bin,sed1_type,sed2_type,sed1_no,sed2_no,sedno_avg,field_collector,
2017_L_04,6/27/2013,20170628,Outside,1,10,0,Sandy mud,Cobble,2,8,5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,2,20,0,Sandy mud,Mud,2,1,1.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,3,30,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,4,40,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,5,50,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,6,60,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,7,70,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,8,80,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,9,90,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_04,6/27/2013,20170628,Outside,10,100,0,Gravel,Sandy mud,7,2,4.5,Tiff Stephens,
2017_L_05,6/26/2013,20170627,Edge,1,10,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_05,6/26/2013,20170627,Edge,2,20,0,Sandy mud,Sand,2,4,3,Tiff Stephens,
2017_L_05,6/26/2013,20170627,Edge,3,30,0,Sandy mud,Sand,2,4,3,Tiff Stephens,
2017_L_05,6/26/2013,20170627,Edge,4,40,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_05,6/26/2013,20170627,Edge,5,50,0,Sandy mud,Gravel,2,7,4.5,Tiff Stephens,
2017_L_05,6/26/2013,20170627,Edge,6,60,0,Sandy mud,Cobble,2,8,5,Tiff Stephens,
